CODE_FANTOIR;RIVOLI;CLE_CONTROLE
5910090697;0697;D
5910090699;0699;F
5910090701;0701;H
5910090705;0705;M
5910090711;0711;U
5910090721;0721;E
5910090722;0722;F
5910090725;0725;J
5910090726;0726;K
5910090731;0731;R
5910090735;0735;V
5910090738;0738;Y
5910090741;0741;B
5910090751;0751;M
5910090761;0761;Y
5910090771;0771;J
5910090785;0785;Z
5910090791;0791;F
5910090795;0795;K
5910090800;0800;R
5910090802;0802;T
5910090803;0803;U
5910090805;0805;W
5910090808;0808;Z
5910090810;0810;B
5910090820;0820;M
5910090829;0829;X
5910090831;0831;Z
5910090832;0832;A
5910090833;0833;B
5910090834;0834;C
5910090836;0836;E
5910090837;0837;F
5910090838;0838;G
5910090839;0839;H
5910090850;0850;V
5910090859;0859;E
5910090875;0875;X
5910090876;0876;Y
5910090880;0880;C
5910090890;0890;N
5910090905;0905;E
5910090910;0910;K
5910090914;0914;P
5910090915;0915;R
5910090920;0920;W
5910090930;0930;G
5910090940;0940;T
5910090951;0951;E
5910090957;0957;L
5910090960;0960;P
5910090970;0970;A
5910090980;0980;L
5910090989;0989;W
5910090994;0994;B
5910090997;0997;E
5910091000;1000;H
5910091003;1003;L
5910091007;1007;R
5910091014;1014;Y
5910091020;1020;E
5910091024;1024;J
5910091025;1025;K
5910091030;1030;R
5910091035;1035;W
5910091040;1040;B
5910091050;1050;M
5910091060;1060;Y
5910091070;1070;J
5910091080;1080;V
5910091089;1089;E
5910091100;1100;S
5910091107;1107;Z
5910091110;1110;C
5910091120;1120;N
5910091124;1124;T
5910091130;1130;Z
5910091135;1135;E
5910091138;1138;H
5910091140;1140;K
5910091150;1150;W
5910091155;1155;B
5910091160;1160;G
5910091171;1171;U
5910091175;1175;Y
5910091186;1186;K
5910091190;1190;P
5910091200;1200;A
5910091210;1210;L
5910091220;1220;X
5910091226;1226;D
5910091230;1230;H
5910091250;1250;E
5910091260;1260;R
5910091264;1264;V
5910091265;1265;W
5910091270;1270;B
5910091280;1280;M
5910091290;1290;Y
5910091300;1300;J
5910091305;1305;P
5910091310;1310;V
5910091311;1311;W
5910091312;1312;X
5910091320;1320;F
5910091330;1330;S
5910091340;1340;C
5910091343;1343;F
5910091346;1346;J
5910091347;1347;K
5910091350;1350;N
5910091360;1360;Z
5910091362;1362;B
5910091380;1380;W
5910091383;1383;Z
5910091390;1390;G
5910091400;1400;T
5910091410;1410;D
5910091415;1415;J
5910091420;1420;P
5910091431;1431;B
5910091440;1440;L
5910091442;1442;N
5910091443;1443;P
5910091444;1444;R
5910091450;1450;X
5910091460;1460;H
5910091462;1462;K
5910091470;1470;U
5910091487;1487;M
5910091490;1490;R
5910091500;1500;B
5910091505;1505;G
5910091510;1510;M
5910091520;1520;Y
5910091530;1530;J
5910091535;1535;P
5910091539;1539;U
5910091540;1540;V
5910091541;1541;W
5910091542;1542;X
5910091543;1543;Y
5910091545;1545;A
5910091550;1550;F
5910091560;1560;S
5910091565;1565;X
5910091566;1566;Y
5910091570;1570;C
5910091590;1590;Z
5910091596;1596;F
5910091600;1600;K
5910091603;1603;N
5910091605;1605;R
5910091606;1606;S
5910091607;1607;T
5910091608;1608;U
5910091609;1609;V
5910091611;1611;X
5910091615;1615;B
5910091618;1618;E
5910091622;1622;J
5910091625;1625;M
5910091630;1630;T
5910091631;1631;U
5910091636;1636;Z
5910091640;1640;D
5910091641;1641;E
5910091645;1645;J
5910091646;1646;K
5910091647;1647;L
5910091648;1648;M
5910091649;1649;N
5910091651;1651;R
5910091652;1652;S
5910091653;1653;T
5910091654;1654;U
5910091655;1655;V
5910091656;1656;W
5910091657;1657;X
5910091658;1658;Y
5910091659;1659;Z
5910091660;1660;A
5910091661;1661;B
5910091662;1662;C
5910091663;1663;D
5910091664;1664;E
5910091665;1665;F
5910091666;1666;G
5910091667;1667;H
5910091668;1668;J
5910091669;1669;K
5910091670;1670;L
5910091671;1671;M
5910091672;1672;N
5910091674;1674;R
5910091675;1675;S
5910091676;1676;T
5910091677;1677;U
5910091678;1678;V
5910091679;1679;W
5910091680;1680;X
5910091685;1685;C
5910091690;1690;H
5910091700;1700;U
5910091710;1710;E
5910091713;1713;H
5910091714;1714;J
5910091715;1715;K
5910091716;1716;L
5910091717;1717;M
5910091718;1718;N
5910091719;1719;P
5910091720;1720;R
5910091730;1730;B
5910091736;1736;H
5910091740;1740;M
5910091750;1750;Y
5910091755;1755;D
5910091756;1756;E
5910091761;1761;K
5910091770;1770;V
5910091780;1780;F
5910091785;1785;L
5910091786;1786;M
5910091787;1787;N
5910091790;1790;S
5910091799;1799;B
5910091800;1800;C
5910091810;1810;N
5910091811;1811;P
5910091812;1812;R
5910091813;1813;S
5910091815;1815;U
5910091816;1816;V
5910091817;1817;W
5910091818;1818;X
5910091819;1819;Y
5910091820;1820;Z
5910091821;1821;A
5910091823;1823;C
5910091824;1824;D
5910091825;1825;E
5910091826;1826;F
5910091827;1827;G
5910091828;1828;H
5910091829;1829;J
5910091830;1830;K
5910091831;1831;L
5910091832;1832;M
5910091833;1833;N
5910091835;1835;R
5910091836;1836;S
5910091837;1837;T
5910091839;1839;V
5910091840;1840;W
5910091841;1841;X
5910091842;1842;Y
5910091843;1843;Z
5910091844;1844;A
5910091845;1845;B
5910091846;1846;C
5910091847;1847;D
5910091848;1848;E
5910091849;1849;F
5910091850;1850;G
5910091851;1851;H
5910091853;1853;K
5910091854;1854;L
5910091857;1857;P
5910091858;1858;R
5910091859;1859;S
5910091860;1860;T
5910091861;1861;U
5910091862;1862;V
5910091863;1863;W
5910091864;1864;X
5910091865;1865;Y
5910091866;1866;Z
5910091867;1867;A
5910091868;1868;B
5910091869;1869;C
5910091871;1871;E
5910091873;1873;G
5910091874;1874;H
5910091875;1875;J
5910091877;1877;L
5910091879;1879;N
5910091880;1880;P
5910091881;1881;R
5910091882;1882;S
5910091883;1883;T
5910091884;1884;U
5910091885;1885;V
5910091886;1886;W
5910091887;1887;X
5910091888;1888;Y
5910091889;1889;Z
5910091890;1890;A
5910091891;1891;B
5910091893;1893;D
5910091894;1894;E
5910091895;1895;F
5910091896;1896;G
5910091897;1897;H
5910091898;1898;J
5910091899;1899;K
5910091903;1903;P
5910091904;1904;R
5910091905;1905;S
5910091906;1906;T
5910091907;1907;U
5910091908;1908;V
5910091909;1909;W
5910091910;1910;X
5910091911;1911;Y
5910091912;1912;Z
5910091920;1920;H
5910091928;1928;S
5910091929;1929;T
5910091930;1930;U
5910091931;1931;V
5910091932;1932;W
5910091933;1933;X
5910091934;1934;Y
5910091936;1936;A
5910091938;1938;C
5910091939;1939;D
5910091940;1940;E
5910091941;1941;F
5910091942;1942;G
5910091943;1943;H
5910091944;1944;J
5910091945;1945;K
